id,name,teachers,course_code,semester,program_code,program
134598,79747_lcn_ud_003177_cq lớp chủ nhiệm (lcn)_trịnh trần hồng duyên (cq_hk252),trịnh trần hồng duyên,,hk252,cq,
130858,"79747_ee2420_003961_clc digital systems (lab) (ee2420)_nguyễn trung hiếu (clc_hk252) [cc03,cc08,cc09]",nguyễn trung hiếu,ee2420,hk252,clc,"cc03,cc08,cc09"
130483,79747_co1004_010858_cq nhập môn về lập trình (th) (co1004)_lê trường thống (cq_hk252) [l04],lê trường thống,co1004,hk252,cq,l04
131206,"79747_co2017_003726_clc operating systems (co2017)_diệp thanh đăng (clc_hk252) [cc02,cc03]",diệp thanh đăng,co2017,hk252,clc,"cc02,cc03"
130523,"79747_co2018_004271_clc operating systems (lab) (co2018)_nguyễn minh tâm (clc_hk252) [cc03,cc07]",nguyễn minh tâm,co2018,hk252,clc,"cc03,cc07"
134586,79747_lcn_ck_003032_cq lớp chủ nhiệm (lcn)_lê quang ngọc (cq_hk252),lê quang ngọc,,hk252,cq,
132848,79747_ge2081_002558_cq địa kỹ thuật (ge2081)_ngô tấn phong (cq_hk252) [l01],ngô tấn phong,ge2081,hk252,cq,l01
132877,79747_ci2151_001910_clc construction economics (ci2151)_lương đức long (clc_hk252) [cc01],lương đức long,ci2151,hk252,clc,cc01
134703,79747_lcn_xd_003497_clc student class (lcn)_nguyễn quốc vinh (clc_hk252),nguyễn quốc vinh,,hk252,clc,
131886,79747_tr2007_003985_clc internal combustion engine mechanics (tr2007)_nghiêm phan thiện quân (clc_hk252) [cc01],nghiêm phan thiện quân,tr2007,hk252,clc,cc01
136055,79747_co5115_004361_sdh giải thuật nâng cao (co5115)_pham an vinh (sdh_hk252) [ch01],phạm an vinh,co5115,hk252,sdh,ch01
132880,79747_im1011_003440_clc computer in business (im1011)_nguyễn tiến dũng (clc_hk252) [cc01],nguyễn tiến dũng,im1011,hk252,clc,cc01
132621,79747_co1007_004356_clc discrete structures for computing (co1007)_trịnh văn giang (clc_hk252) [cc02],trịnh văn giang,co1007,hk252,clc,cc02
132111,79747_co3085_004343_clc natural language processing (co3085)_trương vĩnh lân (clc_hk252) [cc01],trương vĩnh lân,co3085,hk252,clc,cc01
131483,79747_ge3165_002366_cq trầm tích học và nhịp địa tầng (ge3165)_trần anh tú (cq_hk252) [l01],trần anh tú,ge3165,hk252,cq,l01
132137,79747_me1020_004035_cq quản lý năng suất và chất lượng (me1020)_huỳnh mạnh diễn (cq_hk252) [l01],huỳnh mạnh diễn,me1020,hk252,cq,l01
131386,79747_me1020_003495_cq quản lý năng suất và chất lượng (me1020)_nguyễn minh dương (cq_hk252) [l01],nguyễn minh dương,me1020,hk252,cq,l01
131729,79747_co2004_004267_cq cấu trúc dữ liệu và giải thuật (th) (co2004)_lê bình đẳng (cq_hk252) [l06],lê bình đẳng,co2004,hk252,cq,l06
134352,79747_lcn_mt_003116_vlvh lớp chủ nhiệm (lcn)_nguyễn thị kim cương (vlvh_hk252),nguyễn thị kim cương,,hk252,vlvh,
130694,"79747_ch2109_010896_clc physical chemistry 2 (ch2109)_duong minh hai (clc_hk252) [cc01,cc02,cc03,cc04]",duong minh hai,ch2109,hk252,clc,"cc01,cc02,cc03,cc04"
135666,79747_ch4357_003578_clc capstone project (ch4357)_bùi ngọc pha (clc_hk252) [cc05],bùi ngọc pha,ch4357,hk252,clc,cc05
131519,"79747_im4033_004312_cq đồ án chuyên ngành (im4033)_võ thị oanh (cq_hk252) [a01,l01]",võ thị oanh,im4033,hk252,cq,"a01,l01"
136186,79747_co3103_004271_cq đồ án tổng hợp - hướng công nghệ phần mềm (co3103)_nguyễn minh tâm (cq_hk252) [l03],nguyễn minh tâm,co3103,hk252,cq,l03
131874,79747_en3117_001943_cq vận hành công trình xử lý môi trường (en3117)_đặng viết hùng (cq_hk252) [l01],đặng viết hùng,en3117,hk252,cq,l01
