code,name,credit,program,size,language,teacher,dayOfWeek,slot,room,branch,weeks
co3097,thiết kế vi mạch,3,cc01_cc01,39/40,v,trần ngọc thịnh,,,,,
co3097,thiết kế vi mạch,3,cc01_cc02,26/40,v,trần ngọc thịnh,,,,,
co3097,thiết kế vi mạch,3,cc02_cc03,32/40,v,trần ngọc thịnh,,,,,
co3097,thiết kế vi mạch,3,cc02_cc04,40/40,v,trần ngọc thịnh,,,,,
co3097,thiết kế vi mạch,3,l01_l01,36/40,v,huỳnh phúc nghị,,,,,
co3097,thiết kế vi mạch,3,l01_l02,39/40,v,huỳnh phúc nghị,,,,,
co3097,thiết kế vi mạch,3,l02_l03,40/40,v,huỳnh phúc nghị,,,,,
co3097,thiết kế vi mạch,3,l02_l04,40/40,v,huỳnh phúc nghị,,,,,
ci3293,k/thuật c/trình dân dụng,4,cc01_cc01,15/60,v,lê thị hồng na,,,,,
ci3293,k/thuật c/trình dân dụng,4,l01_l01,30/60,v,trần công danh,,,,,
ci3293,k/thuật c/trình dân dụng,4,l02_l02,22/60,v,trần công danh,,,,,
ci3293,k/thuật c/trình dân dụng,4,l03_l03,57/60,v,trần công danh,,,,,
ge4325,đề cương luận văn tn,0,t01,0/500,v,nguyễn xuân khá,chưa biết,--,------,1,
im5085,digital marketing,3,ch01,14/80,v,nguyễn văn tuấn,thứ 7,- - 3 4 5 - - - - - - - - - - -,b1-311,1,
tr5103,thực tập 2,3,ch01,2/80,v,trần đức,chưa biết,--,------,1,
ch4383,luận văn tốt nghiệp(hdp),9,t01,0/500,v,hà cẩm anh,chưa biết,--,------,1,
ma3011,hóa học xúc tác,3,l01_l01,8/60,v,nguyễn khánh sơn,,,,,
me5243,thực tập công ty,4,ch01,2/80,v,huỳnh phước hiển,chưa biết,--,------,1,
ci6106,luận văn thạc sĩ nghiên cứu chuyên sâu - phần 3,15,ch01,0/200,v,chưa/đang phân công,chưa biết,--,------,1,
im6053,luận văn thạc sĩ nghiên cứu chuyên sâu - phần 4,15,ch01,0/200,v,nguyễn văn tuấn,chưa biết,--,------,1,
me1019,quản lý năng suất và chất lượng,3,l01_l01,29/60,v,trần đại nguyên,,,,,
ci5771,phân tích phi tuyến kết cấu,3,ch01,11/60,v,ngô hữu cường,thứ 5,- - - - - - - - - - - - 13 14 15 -,b4-405,1,
ci7666,luận án tiến sĩ - phần 4,15,ns01,0/200,v,chưa/đang phân công,chưa biết,--,------,1,
me6055,đề án tốt nghiệp,9,ch01,2/100,v,phạm minh tuấn,chưa biết,--,------,1,
ma3121,tn hóa học polyme,1,a01,10/25,v,trần tấn đạt,thứ 6,- - - - - - - 8 9 10 11 12 - - - -,c3-104,1,
ma3121,tn hóa học polyme,1,l01,6/30,v,trần tấn đạt,thứ 6,- 2 3 4 5 6 - - - - - - - - - -,h2-104,2,
ci4351,đề cương luận văn tn,0,t01,0/500,v,chưa/đang phân công,chưa biết,--,------,1,
as6083,đề án tốt nghiệp,9,ch01,1/100,v,trần trung nghĩa,chưa biết,--,------,1,
me4347,đồ án tốt nghiệp (ktd),4,a01,0/900,v,bùi mai hương,chưa biết,--,------,1,
me4347,đồ án tốt nghiệp (ktd),4,cc01,0/900,v,bùi mai hương,chưa biết,--,------,1,
me4347,đồ án tốt nghiệp (ktd),4,l01,7/9000,v,bùi mai hương,chưa biết,--,------,2,
me4347,đồ án tốt nghiệp (ktd),4,t01,0/500,v,bùi mai hương,chưa biết,--,------,1,
ee6051,đề án tốt nghiệp,9,ch01,0/200,v,chưa/đang phân công,chưa biết,--,------,1,
ch4323,luận văn tốt nghiệp (hly,9,t01,0/500,v,chưa/đang phân công,chưa biết,--,------,1,
ee6091,luận văn thạc sĩ nghiên cứu chuyên sâu - phần 4,15,ch01,0/200,v,chưa/đang phân công,chưa biết,--,------,1,
ch43b1,đề cương luận văn tn,0,t01,0/500,v,hoàng mỹ dung,chưa biết,--,------,1,
